rxn_id,reaction
19408,O[CH3:21].[CH:1](=[CH:2][c:3]1[cH:4][n:5][cH:6][c:7]([O:8][C@H:9]2[CH2:10][CH2:11][NH:12][CH2:13]2)[cH:14]1)[c:15]1[cH:16][cH:17][n:18][cH:19][cH:20]1>>[CH:1](=[CH:2][c:3]1[cH:4][n:5][cH:6][c:7]([O:8][C@@H:9]2[CH2:10][CH2:11][N:12]([CH3:21])[CH2:13]2)[cH:14]1)[c:15]1[cH:16][cH:17][n:18][cH:19][cH:20]1
19409,Br[CH2:1][CH2:2][CH2:3][Cl:4].[CH3:5][C:6](=[CH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[n:14]1[c:15](=[O:16])[nH:17][c:18]2[cH:19][cH:20][c:21]([F:22])[cH:23][c:24]12>>[CH2:1]([CH2:2][CH2:3][Cl:4])[n:17]1[c:15](=[O:16])[n:14]([C:6]([CH3:5])=[CH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[c:24]2[c:18]1[cH:19][cH:20][c:21]([F:22])[cH:23]2
19411,CC(=O)[O:1][c:2]1[cH:3][cH:4][c:5]([CH:6]([CH3:7])[O:8][N:9]2[C:10]([CH3:11])([CH3:12])[CH2:13][C:14]3([CH2:15][C:16]2([CH3:17])[CH3:18])[O:19][CH2:20][C:21]([CH3:23])([CH3:22])[CH2:24][O:25]3)[cH:26][cH:27]1>>[OH:1][c:2]1[cH:3][cH:4][c:5]([CH:6]([CH3:7])[O:8][N:9]2[C:10]([CH3:11])([CH3:12])[CH2:13][C:14]3([CH2:15][C:16]2([CH3:17])[CH3:18])[O:19][CH2:20][C:21]([CH3:22])([CH3:23])[CH2:24][O:25]3)[cH:26][cH:27]1
19413,O=C(OCc1ccccc1)[N:1]1[C@@H:2]([C:3]([NH:4][CH2:5][c:6]2[cH:14][cH:13][c:9]([CH2:10][CH2:11][CH3:12])[cH:8][cH:7]2)=[O:15])[CH2:16][N:17]([c:18]2[n:19][c:20]([CH3:21])[c:22]([C:23](=[O:24])[O:25][C:26]([CH3:27])([CH3:28])[CH3:29])[s:30]2)[CH2:31][CH2:32]1>>[NH:1]1[C@@H:2]([C:3]([NH:4][CH2:5][c:6]2[cH:7][cH:8][c:9]([CH2:10][CH2:11][CH3:12])[cH:13][cH:14]2)=[O:15])[CH2:16][N:17]([c:18]2[n:19][c:20]([CH3:21])[c:22]([C:23](=[O:24])[O:25][C:26]([CH3:27])([CH3:28])[CH3:29])[s:30]2)[CH2:31][CH2:32]1
19414,Cl[C:1]([c:2]1[cH:3][cH:4][cH:5][c:6]([C:7]([CH3:8])([CH3:9])[C:10]#[N:11])[cH:12]1)=[O:13].[NH2:14][c:15]1[cH:16][cH:17][cH:18][c:19]([OH:20])[cH:21]1>>[C:1]([c:2]1[cH:3][cH:4][cH:5][c:6]([C:7]([CH3:8])([CH3:9])[C:10]#[N:11])[cH:12]1)(=[O:13])[NH:14][c:15]1[cH:16][cH:17][cH:18][c:19]([OH:20])[cH:21]1
19416,I[CH3:1].[OH:2][CH2:3][c:4]1[n:5][cH:6][c:7](-[c:8]2[cH:9][c:10]([O:11][CH2:12][c:13]3[cH:14][cH:15][cH:16][cH:17][n:18]3)[n:19][c:20]3[c:21]2[CH2:22][CH2:23][CH2:24][CH2:25]3)[s:26]1>>[CH3:1][O:2][CH2:3][c:4]1[n:5][cH:6][c:7](-[c:8]2[cH:9][c:10]([O:11][CH2:12][c:13]3[cH:14][cH:15][cH:16][cH:17][n:18]3)[n:19][c:20]3[c:21]2[CH2:22][CH2:23][CH2:24][CH2:25]3)[s:26]1
19417,O=[C:1]([C:2]([CH3:5])([CH3:3])[CH3:4])[CH:6](Br)[C:7]#[N:8].[NH2:9][C:10]([NH2:11])=[S:12]>>[c:1]1([C:2]([CH3:3])([CH3:4])[CH3:5])[c:6]([C:7]#[N:8])[s:12][c:10]([NH2:11])[n:9]1
19418,ClC(Cl)(Cl)CO[C:1]([NH:2][c:3]1[cH:4][cH:5][c:6]([C:7]([N:8]([CH3:9])[CH3:10])=[O:11])[cH:12][cH:13]1)=[O:14].[NH2:15][c:16]1[cH:17][cH:18][c:19]([Br:20])[c:21]([F:22])[c:23]1[F:24]>>[C:1]([NH:2][c:3]1[cH:4][cH:5][c:6]([C:7]([N:8]([CH3:9])[CH3:10])=[O:11])[cH:12][cH:13]1)(=[O:14])[NH:15][c:16]1[cH:17][cH:18][c:19]([Br:20])[c:21]([F:22])[c:23]1[F:24]
19419,Cl[CH2:1][c:2]1[cH:7][cH:6][cH:5][cH:4][cH:3]1.[O:8]=[C:9]([OH:10])[C@H:11]1[CH2:12][CH2:13][C@H:14]([CH2:15][OH:16])[CH2:17][CH2:18]1>>[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[O:10][C:9](=[O:8])[C@H:11]1[CH2:12][CH2:13][C@H:14]([CH2:15][OH:16])[CH2:17][CH2:18]1
19420,CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][CH:4]([CH2:5][n:6]2[cH:7][cH:8][cH:9][n:10]2)[CH2:11][CH2:12]1>>[NH:1]1[CH2:2][CH2:3][CH:4]([CH2:5][n:6]2[cH:7][cH:8][cH:9][n:10]2)[CH2:11][CH2:12]1
19421,[OH:1][c:16]1[cH:15][c:14]2[c:19]([cH:18][cH:17]1)[CH2:20][CH2:21][CH2:22][C:12]([C:10]([O:9][CH3:8])=[O:11])=[CH:13]2.O[CH:2]1[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7]1>>[O:1]([CH:2]1[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7]1)[c:16]1[cH:15][c:14]2[c:19]([cH:18][cH:17]1)[CH2:20][CH2:21][CH2:22][C:12]([C:10]([O:9][CH3:8])=[O:11])=[CH:13]2
19422,Cl[C:1]([N:2]1[CH2:3][CH2:4][N:5]([CH3:6])[CH2:7][CH2:8]1)=[O:9].[O:10]=[C:11]1[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[CH:18]([OH:19])[N:20]1[c:21]1[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[n:30]1>>[C:1]([N:2]1[CH2:3][CH2:4][N:5]([CH3:6])[CH2:7][CH2:8]1)(=[O:9])[O:19][CH:18]1[c:17]2[c:12]([cH:13][cH:14][cH:15][cH:16]2)[C:11](=[O:10])[N:20]1[c:21]1[cH:22][cH:23][c:24]2[n:25][cH:26][cH:27][cH:28][c:29]2[n:30]1
19423,O=[CH:1][c:2]1[cH:3][n:4][cH:5][n:6]1[CH:7]1[CH2:8][c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2[CH2:15]1.[NH2:16][OH:17]>>[CH:1]([c:2]1[cH:3][n:4][cH:5][n:6]1[CH:7]1[CH2:8][c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2[CH2:15]1)=[N:16][OH:17]
19424,Cl[CH2:1][CH2:2][CH2:3][O:4][c:5]1[c:6]([O:7][CH3:8])[cH:9][c:10]([C:11]([CH3:12])=[O:13])[cH:14][cH:15]1.[cH:16]1[cH:17][cH:18][c:19]2[c:20]([CH:21]3[CH2:22][CH2:23][NH:24][CH2:25][CH2:26]3)[n:27][nH:28][c:29]2[cH:30]1>>[CH2:1]([CH2:2][CH2:3][O:4][c:5]1[c:6]([O:7][CH3:8])[cH:9][c:10]([C:11]([CH3:12])=[O:13])[cH:14][cH:15]1)[N:24]1[CH2:23][CH2:22][CH:21]([c:20]2[c:19]3[cH:18][cH:17][cH:16][cH:30][c:29]3[nH:28][n:27]2)[CH2:26][CH2:25]1
19425,Cl[CH2:1][c:2]1[n:3][c:4]([CH:5]=[CH:6][c:7]2[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[C:14]([F:15])([F:16])[F:17])[cH:18][cH:19]2)[o:20][cH:21]1.[O:22]=[S:23]([CH2:24][CH2:25][n:26]1[cH:27][cH:28][n:29][n:30]1)[CH2:31][c:32]1[cH:33][cH:34][c:35]([OH:36])[cH:37][cH:38]1>>[CH2:1]([c:2]1[n:3][c:4](/[CH:5]=[CH:6]/[c:7]2[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[C:14]([F:15])([F:16])[F:17])[cH:18][cH:19]2)[o:20][cH:21]1)[O:36][c:35]1[cH:34][cH:33][c:32]([CH2:31][S:23](=[O:22])[CH2:24][CH2:25][n:26]2[cH:27][cH:28][n:29][n:30]2)[cH:38][cH:37]1
19426,[CH3:1][c:2]1[s:3][c:4]([CH:5]=[O:6])[c:7]([CH3:8])[c:9]1[CH3:10]>>[CH3:1][c:2]1[s:3][c:4]([CH2:5][OH:6])[c:7]([CH3:8])[c:9]1[CH3:10]
19428,CCO[C:1](=[O:2])[c:3]1[cH:4][c:5]2[cH:6][cH:7][c:8]([F:9])[cH:10][c:11]2[n:12]1[C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:19])[CH3:18]>>[CH2:1]([OH:2])[c:3]1[cH:4][c:5]2[cH:6][cH:7][c:8]([F:9])[cH:10][c:11]2[n:12]1[C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19]
19430,O[C:1]([c:2]1[c:3]([NH2:4])[c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2)=[O:12].[CH3:13][NH2:14]>>[C:1]([c:2]1[c:3]([NH2:4])[c:5]2[c:6]([cH:7][cH:8]1)[O:9][CH2:10][O:11]2)(=[O:12])[NH:14][CH3:13]
19433,O[C:1]([c:2]1[n:3][c:4]([O:5][CH2:6][CH3:7])[c:8]([C:9]#[N:10])[c:11]([NH2:12])[cH:13]1)=[O:14].[NH2:15][CH2:16][CH:17]1[CH2:36][CH2:35][N:20]([S:21](=[O:22])(=[O:23])[c:24]2[cH:25][cH:26][c:27](-[c:28]3[cH:29][cH:30][cH:31][cH:32][n:33]3)[s:34]2)[CH2:19][CH2:18]1>>[C:1]([c:2]1[n:3][c:4]([O:5][CH2:6][CH3:7])[c:8]([C:9]#[N:10])[c:11]([NH2:12])[cH:13]1)(=[O:14])[NH:15][CH2:16][CH:17]1[CH2:18][CH2:19][N:20]([S:21](=[O:22])(=[O:23])[c:24]2[cH:25][cH:26][c:27](-[c:28]3[cH:29][cH:30][cH:31][cH:32][n:33]3)[s:34]2)[CH2:35][CH2:36]1
19435,Br[CH2:1][CH2:2][C:3]([NH:4][c:5]1[n:6][c:7]([CH3:8])[c:9](-[c:10]2[cH:11][cH:12][n:13][c:14]([NH:15][c:16]3[cH:17][cH:18][c:19]([F:20])[cH:21][cH:22]3)[n:23]2)[s:24]1)=[O:25].[CH2:26]1[CH2:27][O:28][CH2:29][CH2:30][NH:31]1>>[CH2:1]([CH2:2][C:3]([NH:4][c:5]1[n:6][c:7]([CH3:8])[c:9](-[c:10]2[cH:11][cH:12][n:13][c:14]([NH:15][c:16]3[cH:17][cH:18][c:19]([F:20])[cH:21][cH:22]3)[n:23]2)[s:24]1)=[O:25])[N:31]1[CH2:26][CH2:27][O:28][CH2:29][CH2:30]1
19436,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8]/[CH:9]=[CH:10]\[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH:18]([OH:19])[CH2:20][CH2:21][CH2:22][NH:23][C:24](=[O:25])[CH2:26][CH2:27][NH:28][C:29]([CH3:30])=[O:31]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8]/[CH:9]=[CH:10]\[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][C:18](=[O:19])[CH2:20][CH2:21][CH2:22][NH:23][C:24](=[O:25])[CH2:26][CH2:27][NH:28][C:29]([CH3:30])=[O:31]
19437,Br[CH2:1][CH:2]1[CH2:3][CH2:4]1.[CH3:5][CH2:6][CH2:7][CH2:8][CH2:9][NH:10][CH:11]=[O:12]>>[CH2:1]([CH:2]1[CH2:3][CH2:4]1)[N:10]([CH2:9][CH2:8][CH2:7][CH2:6][CH3:5])[CH:11]=[O:12]
19438,CC(C)(C)OC(=O)[N:1]1[CH2:2][C@H:3]([O:4][CH2:5][CH:6]=[CH2:7])[C@@H:8]([OH:9])[CH2:10]1>>[NH:1]1[CH2:2][C@H:3]([O:4][CH2:5][CH:6]=[CH2:7])[C@@H:8]([OH:9])[CH2:10]1
19439,O[C:1]([CH2:2][CH2:3][CH2:4][C:5]([N:6]([CH:7]([CH3:9])[CH3:8])[CH2:10][C@H:11]1[O:12][C@@H:13]([n:14]2[cH:15][n:16][c:17]3[c:18]([NH2:19])[n:20][cH:21][n:22][c:23]23)[C@@H:24]2[O:25][C:26]([CH3:27])([CH3:28])[O:29][C@H:30]12)=[O:31])=[O:32].[CH3:33][C:34]([CH3:35])([CH3:36])[c:37]1[cH:38][cH:39][c:40]([NH2:41])[c:42]([NH2:43])[cH:44]1>>[C:1]([CH2:2][CH2:3][CH2:4][C:5]([N:6]([CH:7]([CH3:8])[CH3:9])[CH2:10][C@H:11]1[O:12][C@@H:13]([n:14]2[cH:15][n:16][c:17]3[c:18]([NH2:19])[n:20][cH:21][n:22][c:23]23)[C@@H:24]2[O:25][C:26]([CH3:27])([CH3:28])[O:29][C@H:30]12)=[O:31])(=[O:32])[NH:41][c:40]1[cH:39][cH:38][c:37]([C:34]([CH3:33])([CH3:35])[CH3:36])[cH:44][c:42]1[NH2:43]
19440,Br[CH:1]1[CH2:2][CH2:3][CH2:4][CH2:5]1.[O:6]=[C:7]([c:8]1[cH:9][cH:10][c:11]([O:12][CH2:13][c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[cH:20][cH:21]1)[c:22]1[n:23][nH:24][c:25]2[c:26]([C:27]([F:28])([F:29])[F:30])[cH:31][cH:32][cH:33][c:34]12>>[CH:1]1([n:24]2[n:23][c:22]([C:7](=[O:6])[c:8]3[cH:9][cH:10][c:11]([O:12][CH2:13][c:14]4[cH:15][cH:16][cH:17][cH:18][cH:19]4)[cH:20][cH:21]3)[c:34]3[c:25]2[c:26]([C:27]([F:28])([F:29])[F:30])[cH:31][cH:32][cH:33]3)[CH2:2][CH2:3][CH2:4][CH2:5]1
19441,O[C:1]([CH2:2][O:3][C@@H:4]1[CH2:5][N:6]([C:7](=[O:8])[O:9][C:10]([CH3:11])([CH3:12])[CH3:13])[CH2:14][C@H:15]([O:16][CH2:17][c:18]2[cH:19][cH:20][c:21]3[c:22]([cH:23]2)[N:24]([CH2:25][CH2:26][CH2:27][O:28][CH3:29])[CH2:30][CH2:31][O:32]3)[C@H:33]1[c:34]1[cH:35][cH:36][c:37]([O:38][CH2:39][CH2:40][CH2:41][O:42][c:43]2[cH:44][cH:45][cH:46][cH:47][c:48]2[Cl:49])[cH:50][cH:51]1)=[O:52].[NH2:53][CH2:54][CH2:55][OH:56]>>[C:1]([CH2:2][O:3][C@@H:4]1[CH2:5][N:6]([C:7](=[O:8])[O:9][C:10]([CH3:11])([CH3:12])[CH3:13])[CH2:14][C@H:15]([O:16][CH2:17][c:18]2[cH:19][cH:20][c:21]3[c:22]([cH:23]2)[N:24]([CH2:25][CH2:26][CH2:27][O:28][CH3:29])[CH2:30][CH2:31][O:32]3)[C@H:33]1[c:34]1[cH:35][cH:36][c:37]([O:38][CH2:39][CH2:40][CH2:41][O:42][c:43]2[cH:44][cH:45][cH:46][cH:47][c:48]2[Cl:49])[cH:50][cH:51]1)(=[O:52])[NH:53][CH2:54][CH2:55][OH:56]
19442,Cl[S:1]([CH3:2])(=[O:3])=[O:4].[CH3:5][C@H:6]1[CH2:7][CH2:8][C@@H:9]([NH:10][c:11]2[n:12][cH:13][c:14](-[c:15]3[cH:26][cH:25][c:18]([N:19]4[CH2:20][CH2:21][O:22][CH2:23][CH2:24]4)[cH:17][cH:16]3)[c:27]([O:28][CH2:29][CH:30]3[CH2:31][CH2:32][NH:33][CH2:34][CH2:35]3)[n:36]2)[CH2:37][CH2:38]1>>[S:1]([CH3:2])(=[O:3])(=[O:4])[N:33]1[CH2:32][CH2:31][CH:30]([CH2:29][O:28][c:27]2[c:14](-[c:15]3[cH:16][cH:17][c:18]([N:19]4[CH2:20][CH2:21][O:22][CH2:23][CH2:24]4)[cH:25][cH:26]3)[cH:13][n:12][c:11]([NH:10][C@H:9]3[CH2:8][CH2:7][C@@H:6]([CH3:5])[CH2:38][CH2:37]3)[n:36]2)[CH2:35][CH2:34]1
19444,CC(C)(C)OC(=O)[NH:1][C@H:2]([c:3]1[c:4](-[c:5]2[cH:6][cH:7][cH:8][c:9]3[c:10]([NH2:11])[n:12][n:13]([CH3:14])[c:15]23)[cH:16][n:17][c:18]([S:19][CH3:20])[n:21]1)[CH2:22][c:23]1[cH:24][c:25]([F:26])[cH:27][c:28]([F:29])[cH:30]1>>[NH2:1][C@H:2]([c:3]1[c:4](-[c:5]2[cH:6][cH:7][cH:8][c:9]3[c:10]([NH2:11])[n:12][n:13]([CH3:14])[c:15]23)[cH:16][n:17][c:18]([S:19][CH3:20])[n:21]1)[CH2:22][c:23]1[cH:24][c:25]([F:26])[cH:27][c:28]([F:29])[cH:30]1
19445,CC(=O)[O:1][CH2:2][CH2:3][NH:4][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]2[c:12]([cH:13]1)[C:14]([c:15]1[cH:16][cH:17][cH:18][cH:19][c:20]1[F:21])=[N:22][CH2:23][C:24](=[O:25])[N:26]2[CH3:27]>>[OH:1][CH2:2][CH2:3][NH:4][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]2[c:12]([cH:13]1)[C:14]([c:15]1[cH:16][cH:17][cH:18][cH:19][c:20]1[F:21])=[N:22][CH2:23][C:24](=[O:25])[N:26]2[CH3:27]
19446,Cl[C:1]([c:2]1[c:3]([CH3:4])[o:5][n:6][c:7]1-[c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15])=[O:16].[CH3:17][CH:18]([CH3:19])[C:20](=[O:21])[NH:22][c:23]1[cH:24][cH:25][cH:26][c:27]([CH:28]2[CH2:29][CH2:30][N:31]([CH2:32][CH2:33][C@H:34]([NH2:35])[c:36]3[cH:37][cH:38][cH:39][cH:40][cH:41]3)[CH2:42][CH2:43]2)[cH:44]1>>[C:1]([c:2]1[c:3]([CH3:4])[o:5][n:6][c:7]1-[c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15])(=[O:16])[NH:35][C@@H:34]([CH2:33][CH2:32][N:31]1[CH2:30][CH2:29][CH:28]([c:27]2[cH:26][cH:25][cH:24][c:23]([NH:22][C:20]([CH:18]([CH3:17])[CH3:19])=[O:21])[cH:44]2)[CH2:43][CH2:42]1)[c:36]1[cH:37][cH:38][cH:39][cH:40][cH:41]1
19447,O=C(O[OH:1])c1cccc(Cl)c1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]2[n:11][cH:12][cH:13][cH:14][c:15]2[cH:16]1>>[O-:1][n+:11]1[c:10]2[cH:9][cH:8][c:7]([C:5]([O:4][CH2:3][CH3:2])=[O:6])[cH:16][c:15]2[cH:14][cH:13][cH:12]1
19448,CC(C)(C)OC(=O)[NH:1][CH:2]1[CH2:3][CH2:4][CH:5]([CH2:6][O:7][c:8]2[cH:9][cH:10][n:11][c:12]3[cH:13][cH:14][c:15]([O:16][CH3:17])[cH:18][c:19]23)[CH2:20][CH2:21]1>>[NH2:1][C@H:2]1[CH2:3][CH2:4][C@H:5]([CH2:6][O:7][c:8]2[cH:9][cH:10][n:11][c:12]3[cH:13][cH:14][c:15]([O:16][CH3:17])[cH:18][c:19]23)[CH2:20][CH2:21]1
19449,[OH:3][CH2:2][CH2:1][OH:6].[CH3:4][C:5](=O)[c:7]1[cH:8][cH:9][s:10][cH:11]1>>[CH2:1]1[CH2:2][O:3][C:5]([CH3:4])([c:7]2[cH:8][cH:9][s:10][cH:11]2)[O:6]1
19451,Cl[c:1]1[cH:2][cH:3][c:4]([C:5]([CH3:6])=[O:7])[c:8]([NH:9][C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[n:17]1.[NH2:18][CH2:19][CH2:20][NH:21][c:22]1[n:23][c:24](-[c:25]2[cH:26][cH:27][c:28]([Cl:29])[cH:30][c:31]2[Cl:32])[cH:33][c:34]2[n:35][cH:36][cH:37][n:38]12>>[c:1]1([NH:18][CH2:19][CH2:20][NH:21][c:22]2[n:23][c:24](-[c:25]3[cH:26][cH:27][c:28]([Cl:29])[cH:30][c:31]3[Cl:32])[cH:33][c:34]3[n:35][cH:36][cH:37][n:38]23)[cH:2][cH:3][c:4]([C:5]([CH3:6])=[O:7])[c:8]([NH:9][C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[n:17]1
19452,O=[CH:1][CH3:2].[CH3:3][CH2:4][CH2:5][N:6]([c:7]1[n:8][cH:9][cH:10][cH:11][c:12]1[NH2:13])[CH:14]1[CH2:15][CH2:16][N:17]([CH2:18][c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[CH2:25][CH2:26]1>>[CH2:1]([CH3:2])[NH:13][c:12]1[c:7]([N:6]([CH2:5][CH2:4][CH3:3])[CH:14]2[CH2:15][CH2:16][N:17]([CH2:18][c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[CH2:25][CH2:26]2)[n:8][cH:9][cH:10][cH:11]1
19453,[CH2:1]=[CH:2]/[CH:3]=[CH:4]/[CH2:5][C@H:6]1[CH2:7][C@H:8]([NH:9][C:10](=[O:11])[C:12]([F:13])([F:14])[F:15])[C@H:16]([O:17][C:18](=[O:19])[c:20]2[cH:21][cH:22][c:23]([N+:24](=[O:25])[O-:26])[cH:27][cH:28]2)[C@H:29]([CH3:30])[O:31]1.[O:37]=[C:36]1[CH:35]=[CH:34][C:33](=[O:32])[c:43]2[cH:42][cH:41][cH:40][cH:39][c:38]21>>[CH2:1]1[CH:2]=[CH:3][CH:4]([CH2:5][C@H:6]2[CH2:7][C@H:8]([NH:9][C:10](=[O:11])[C:12]([F:13])([F:14])[F:15])[C@H:16]([O:17][C:18](=[O:19])[c:20]3[cH:21][cH:22][c:23]([N+:24](=[O:25])[O-:26])[cH:27][cH:28]3)[C@H:29]([CH3:30])[O:31]2)[CH:34]2[C:33](=[O:32])[c:43]3[c:38]([cH:39][cH:40][cH:41][cH:42]3)[C:36](=[O:37])[CH:35]12
19456,Br[C:2]([CH3:1])=[O:3].[CH3:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][NH:21][c:22]1[cH:23][cH:24][c:25]([CH2:26][OH:27])[cH:28][cH:29]1>>[CH3:1][C:2](=[O:3])[O:27][CH2:26][c:25]1[cH:24][cH:23][c:22]([NH:21][CH2:20][CH2:19][CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][CH2:8][CH2:7][CH2:6][CH3:5])[cH:29][cH:28]1
19457,Br[CH2:1][c:2]1[cH:7][cH:6][cH:5][cH:4][cH:3]1.[CH3:8][c:9]1[n:10][c:11]2[c:12]([nH:13]1)-[c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]1[N:20]([C:21](=[O:22])[c:23]1[cH:28][cH:27][cH:26][cH:25][cH:24]1)[CH2:29][CH2:30]2>>[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[n:13]1[c:9]([CH3:8])[n:10][c:11]2[c:12]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]1[N:20]([C:21](=[O:22])[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1)[CH2:29][CH2:30]2
19459,O[C:1]([C@H:2]([CH:3]([CH3:4])[CH3:5])[OH:6])=[O:7].[CH3:8][CH2:9][CH2:10][CH:11]([NH2:12])[C:13](=[O:14])[NH:15][c:16]1[cH:17][n:18]([C:19]([CH3:20])([CH3:21])[CH2:22][C:23](=[O:24])[O:25][CH3:26])[cH:27][n:28]1>>[C:1]([CH:2]([CH:3]([CH3:4])[CH3:5])[OH:6])(=[O:7])[NH:12][CH:11]([CH2:10][CH2:9][CH3:8])[C:13](=[O:14])[NH:15][c:16]1[cH:17][n:18]([C:19]([CH3:20])([CH3:21])[CH2:22][C:23](=[O:24])[O:25][CH3:26])[cH:27][n:28]1
19460,Br[c:1]1[s:2][cH:3][c:4]([C:5]([NH:6][c:7]2[c:8]([O:9][CH3:10])[n:11][c:12]([NH:13][CH2:14][CH2:15][N:16]([C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[CH:24]([CH3:25])[CH3:26])[n:27][c:28]2[O:29][CH3:30])=[O:31])[n:32]1.[CH3:33][c:34]1[cH:35][cH:36][c:37]([O:38][CH2:39][CH:40]([CH3:41])[CH3:42])[cH:43][c:44]1[OH:45]>>[c:1]1([O:45][c:44]2[c:34]([CH3:33])[cH:35][cH:36][c:37]([O:38][CH2:39][CH:40]([CH3:41])[CH3:42])[cH:43]2)[s:2][cH:3][c:4]([C:5]([NH:6][c:7]2[c:8]([O:9][CH3:10])[n:11][c:12]([NH:13][CH2:14][CH2:15][N:16]([C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[CH:24]([CH3:25])[CH3:26])[n:27][c:28]2[O:29][CH3:30])=[O:31])[n:32]1
19461,[CH3:1][C:2](=[O:3])OC(C)=O.[NH2:4][CH2:5][CH2:6][C@@H:7]1[CH2:8][CH2:9][c:10]2[cH:11][cH:12][c:13]3[c:14]([c:15]21)[CH2:16][CH2:17][O:18]3>>[CH3:1][C:2](=[O:3])[NH:4][CH2:5][CH2:6][C@@H:7]1[CH2:8][CH2:9][c:10]2[cH:11][cH:12][c:13]3[c:14]([c:15]21)[CH2:16][CH2:17][O:18]3
19462,O=[CH:1][c:2]1[c:3]([F:4])[cH:5][cH:6][c:7]([O:8][CH3:9])[cH:10]1.[NH2:11][CH:12]1[CH2:13][CH2:14]1>>[CH2:1]([c:2]1[c:3]([F:4])[cH:5][cH:6][c:7]([O:8][CH3:9])[cH:10]1)[NH:11][CH:12]1[CH2:13][CH2:14]1
19463,O[C:1]([c:2]1[cH:3][cH:4][c:5]2[c:6]([n:7]1)[NH:8][C:9](=[O:10])[CH2:11][S:12]2)=[O:13].[CH3:14][O:15][c:16]1[cH:17][cH:18][c:19]2[n:20][cH:21][cH:22][c:23]([CH2:24][CH2:25][N:26]3[CH2:27][CH2:28][O:29][CH:30]([CH2:31][NH2:32])[CH2:33]3)[c:34]2[n:35]1>>[C:1]([c:2]1[cH:3][cH:4][c:5]2[c:6]([n:7]1)[NH:8][C:9](=[O:10])[CH2:11][S:12]2)(=[O:13])[NH:32][CH2:31][CH:30]1[O:29][CH2:28][CH2:27][N:26]([CH2:25][CH2:24][c:23]2[cH:22][cH:21][n:20][c:19]3[cH:18][cH:17][c:16]([O:15][CH3:14])[n:35][c:34]23)[CH2:33]1
